component_name,correlation_r,abs_correlation,p_value
ecs_prompt_specific_layer_per_head_layer_1_head_9,0.20010,0.20010,0.00230
cas_alt_vs_final_layer_per_head_layer_1_head_18,-0.20010,0.20010,0.00230
cas_alt_vs_final_layer_per_head_layer_18_head_5,-0.20009,0.20009,0.00230
ecs_prompt_final_layer_per_head_layer_24_head_8,-0.20009,0.20009,0.00230
cas_alt_vs_final_layer_per_head_layer_25_head_9,-0.20008,0.20008,0.00230
ecs_final_layer_per_head_layer_21_head_1,-0.20005,0.20005,0.00230
cas_alt_vs_final_layer_per_head_layer_17_head_13,-0.19999,0.19999,0.00231
ecs_prompt_specific_layer_per_head_layer_26_head_19,-0.19996,0.19996,0.00231
ecs_final_layer_per_head_layer_7_head_14,-0.19995,0.19995,0.00231
ecs_final_layer_per_head_layer_13_head_8,-0.19994,0.19994,0.00231
cas_vs_current_layer_per_head_layer_12_head_23,0.19994,0.19994,0.00231
ecs_final_layer_per_head_layer_25_head_11,-0.19994,0.19994,0.00231
cas_alt_vs_final_layer_per_head_layer_22_head_15,-0.19991,0.19991,0.00232
ecs_prompt_specific_layer_per_head_layer_26_head_1,-0.19985,0.19985,0.00233
ecs_prompt_final_layer_per_head_layer_4_head_20,-0.19984,0.19984,0.00233
ecs_final_layer_per_head_layer_23_head_6,-0.19983,0.19983,0.00233
ecs_final_layer_per_head_layer_16_head_0,-0.19982,0.19982,0.00233
ecs_prompt_final_layer_per_head_layer_22_head_2,-0.19980,0.19980,0.00233
cas_alt_vs_final_layer_per_head_layer_1_head_13,-0.19973,0.19973,0.00234
ecs_final_layer_per_head_layer_5_head_4,-0.19972,0.19972,0.00234
ecs_specific_layer_per_head_layer_26_head_1,-0.19972,0.19972,0.00234
ecs_prompt_final_layer_per_head_layer_14_head_10,-0.19964,0.19964,0.00235
cas_alt_vs_final_layer_per_head_layer_2_head_23,-0.19962,0.19962,0.00235
ecs_final_layer_per_head_layer_17_head_15,-0.19962,0.19962,0.00235
ecs_final_layer_per_head_layer_16_head_1,-0.19962,0.19962,0.00235
cas_alt_vs_final_layer_per_head_layer_26_head_14,-0.19960,0.19960,0.00236
ecs_prompt_final_layer_per_head_layer_27_head_15,-0.19958,0.19958,0.00236
ecs_prompt_specific_layer_per_head_layer_27_head_15,-0.19958,0.19958,0.00236
ecs_final_layer_per_head_layer_4_head_12,-0.19956,0.19956,0.00236
cas_alt_vs_final_layer_per_head_layer_15_head_18,-0.19954,0.19954,0.00236
cas_alt_vs_final_layer_per_head_layer_23_head_19,-0.19952,0.19952,0.00237
cas_alt_vs_final_layer_per_head_layer_4_head_22,-0.19952,0.19952,0.00237
ecs_prompt_final_layer_per_head_layer_6_head_6,-0.19952,0.19952,0.00237
ecs_final_layer_per_head_layer_7_head_1,-0.19952,0.19952,0.00237
ecs_specific_layer_per_head_layer_27_head_16,-0.19949,0.19949,0.00237
ecs_final_layer_per_head_layer_27_head_16,-0.19949,0.19949,0.00237
ecs_prompt_final_layer_per_head_layer_4_head_7,-0.19941,0.19941,0.00238
cas_alt_vs_final_layer_per_head_layer_12_head_18,-0.19940,0.19940,0.00238
ecs_final_layer_per_head_layer_0_head_23,-0.19940,0.19940,0.00238
ecs_prompt_final_layer_per_head_layer_20_head_12,-0.19938,0.19938,0.00238
ecs_prompt_final_layer_per_head_layer_26_head_16,-0.19937,0.19937,0.00238
cas_alt_vs_current_layer_per_head_layer_11_head_15,0.19936,0.19936,0.00239
cas_alt_vs_final_layer_per_head_layer_13_head_19,-0.19936,0.19936,0.00239
ecs_prompt_final_layer_per_head_layer_3_head_12,-0.19935,0.19935,0.00239
ecs_final_layer_per_head_layer_2_head_16,-0.19935,0.19935,0.00239
cas_alt_vs_current_layer_per_head_layer_13_head_11,0.19934,0.19934,0.00239
cas_alt_vs_final_layer_per_head_layer_21_head_8,-0.19933,0.19933,0.00239
cas_alt_vs_final_layer_per_head_layer_20_head_17,-0.19933,0.19933,0.00239
x_post_ffn_norm_per_layer_layer_15,0.19930,0.19930,0.00239
x_input_norm_per_layer_layer_16,0.19930,0.19930,0.00239
ecs_final_layer_per_head_layer_18_head_1,-0.19925,0.19925,0.00240
ecs_final_layer_per_head_layer_9_head_12,-0.19923,0.19923,0.00240
cas_alt_vs_final_layer_per_head_layer_10_head_3,-0.19921,0.19921,0.00240
parameter_knowledge_difference_layer_10,-0.19914,0.19914,0.00241
ecs_prompt_specific_layer_per_head_layer_26_head_18,-0.19914,0.19914,0.00241
ecs_final_layer_per_head_layer_10_head_12,-0.19914,0.19914,0.00241
cas_alt_vs_final_layer_per_head_layer_20_head_0,-0.19913,0.19913,0.00241
ecs_final_layer_per_head_layer_17_head_16,-0.19911,0.19911,0.00242
cas_alt_vs_final_layer_per_head_layer_3_head_8,-0.19910,0.19910,0.00242
cas_alt_vs_final_layer_per_head_layer_10_head_4,-0.19909,0.19909,0.00242
ecs_prompt_final_layer_per_head_layer_12_head_2,-0.19908,0.19908,0.00242
cas_alt_vs_final_layer_per_head_layer_0_head_8,-0.19905,0.19905,0.00242
cas_alt_vs_final_layer_per_head_layer_2_head_22,-0.19897,0.19897,0.00243
ecs_final_layer_per_head_layer_18_head_10,-0.19897,0.19897,0.00243
ecs_final_layer_per_head_layer_12_head_15,-0.19896,0.19896,0.00244
ecs_prompt_final_layer_per_head_layer_12_head_21,-0.19894,0.19894,0.00244
ecs_final_layer_per_head_layer_4_head_11,-0.19894,0.19894,0.00244
cas_alt_vs_current_layer_per_head_layer_27_head_21,-0.19889,0.19889,0.00244
cas_alt_vs_final_layer_per_head_layer_27_head_21,-0.19889,0.19889,0.00244
ecs_prompt_final_layer_per_head_layer_9_head_20,-0.19889,0.19889,0.00244
cas_alt_vs_current_layer_per_head_layer_13_head_3,0.19885,0.19885,0.00245
ecs_final_layer_per_head_layer_14_head_0,-0.19884,0.19884,0.00245
ecs_prompt_final_layer_per_head_layer_17_head_3,-0.19883,0.19883,0.00245
ecs_final_layer_per_head_layer_1_head_13,-0.19881,0.19881,0.00245
ecs_prompt_final_layer_per_head_layer_20_head_13,-0.19881,0.19881,0.00245
cas_alt_vs_final_layer_per_head_layer_16_head_1,-0.19881,0.19881,0.00245
ecs_prompt_final_layer_per_head_layer_19_head_11,-0.19880,0.19880,0.00245
ecs_prompt_final_layer_per_head_layer_9_head_1,-0.19877,0.19877,0.00246
ecs_specific_layer_per_head_layer_26_head_19,-0.19876,0.19876,0.00246
ecs_final_layer_per_head_layer_1_head_18,-0.19875,0.19875,0.00246
ecs_final_layer_per_head_layer_6_head_6,-0.19875,0.19875,0.00246
ecs_prompt_final_layer_per_head_layer_14_head_15,-0.19872,0.19872,0.00247
ecs_final_layer_per_head_layer_6_head_17,-0.19867,0.19867,0.00247
cas_alt_vs_final_layer_per_head_layer_15_head_15,-0.19863,0.19863,0.00248
cas_alt_vs_final_layer_per_head_layer_9_head_19,-0.19863,0.19863,0.00248
cas_alt_vs_final_layer_per_head_layer_6_head_19,-0.19863,0.19863,0.00248
cas_alt_vs_final_layer_per_head_layer_11_head_10,-0.19860,0.19860,0.00248
ecs_final_layer_per_head_layer_1_head_15,-0.19859,0.19859,0.00248
cas_alt_vs_final_layer_per_head_layer_1_head_6,-0.19855,0.19855,0.00249
ecs_final_layer_per_head_layer_10_head_0,-0.19853,0.19853,0.00249
ecs_final_layer_per_head_layer_10_head_18,-0.19852,0.19852,0.00249
ecs_prompt_final_layer_per_head_layer_15_head_17,-0.19851,0.19851,0.00249
ecs_final_layer_per_head_layer_15_head_14,-0.19850,0.19850,0.00249
cas_alt_vs_final_layer_per_head_layer_27_head_20,-0.19845,0.19845,0.00250
cas_alt_vs_current_layer_per_head_layer_27_head_20,-0.19845,0.19845,0.00250
ecs_final_layer_per_head_layer_26_head_5,-0.19842,0.19842,0.00250
cas_alt_vs_final_layer_per_head_layer_25_head_1,-0.19841,0.19841,0.00250
ecs_prompt_final_layer_per_head_layer_6_head_3,-0.19840,0.19840,0.00251
ecs_final_layer_per_head_layer_23_head_8,-0.19839,0.19839,0.00251
cas_alt_vs_final_layer_per_head_layer_17_head_5,-0.19838,0.19838,0.00251
ecs_final_layer_per_head_layer_1_head_14,-0.19831,0.19831,0.00252
cas_alt_vs_final_layer_per_head_layer_6_head_13,-0.19830,0.19830,0.00252
ecs_final_layer_per_head_layer_10_head_6,-0.19828,0.19828,0.00252
ecs_prompt_final_layer_per_head_layer_3_head_17,-0.19827,0.19827,0.00252
ecs_final_layer_per_head_layer_0_head_4,-0.19823,0.19823,0.00253
cas_alt_vs_final_layer_per_head_layer_12_head_20,-0.19821,0.19821,0.00253
cas_alt_vs_final_layer_per_head_layer_0_head_12,-0.19817,0.19817,0.00254
cas_alt_vs_final_layer_per_head_layer_26_head_5,-0.19817,0.19817,0.00254
ecs_final_layer_per_head_layer_15_head_7,-0.19816,0.19816,0.00254
cas_alt_vs_current_layer_per_head_layer_26_head_16,-0.19811,0.19811,0.00254
cas_alt_vs_final_layer_per_head_layer_8_head_4,-0.19810,0.19810,0.00255
ecs_final_layer_per_head_layer_21_head_20,-0.19808,0.19808,0.00255
ecs_final_layer_per_head_layer_21_head_14,-0.19806,0.19806,0.00255
cas_alt_vs_final_layer_per_head_layer_16_head_23,-0.19804,0.19804,0.00255
ecs_prompt_final_layer_per_head_layer_0_head_18,-0.19803,0.19803,0.00255
ecs_final_layer_per_head_layer_5_head_11,-0.19802,0.19802,0.00255
cas_alt_vs_final_layer_per_head_layer_16_head_22,-0.19802,0.19802,0.00256
cas_alt_vs_current_layer_per_head_layer_27_head_23,-0.19801,0.19801,0.00256
cas_alt_vs_final_layer_per_head_layer_27_head_23,-0.19801,0.19801,0.00256
ecs_final_layer_per_head_layer_1_head_6,-0.19800,0.19800,0.00256
cas_alt_vs_final_layer_per_head_layer_8_head_20,-0.19799,0.19799,0.00256
cas_alt_vs_final_layer_per_head_layer_14_head_3,-0.19798,0.19798,0.00256
ecs_final_layer_per_head_layer_7_head_19,-0.19797,0.19797,0.00256
cas_alt_vs_final_layer_per_head_layer_7_head_4,-0.19796,0.19796,0.00256
ecs_prompt_final_layer_per_head_layer_19_head_21,-0.19791,0.19791,0.00257
cas_alt_vs_final_layer_per_head_layer_23_head_1,-0.19789,0.19789,0.00257
ecs_final_layer_per_head_layer_24_head_1,-0.19788,0.19788,0.00257
ecs_prompt_final_layer_per_head_layer_8_head_19,-0.19784,0.19784,0.00258
ecs_final_layer_per_head_layer_17_head_23,-0.19776,0.19776,0.00259
cas_alt_vs_final_layer_per_head_layer_10_head_14,-0.19772,0.19772,0.00259
ecs_final_layer_per_head_layer_16_head_2,-0.19771,0.19771,0.00260
cas_alt_vs_final_layer_per_head_layer_24_head_22,-0.19770,0.19770,0.00260
ecs_final_layer_per_head_layer_0_head_8,-0.19767,0.19767,0.00260
ecs_prompt_final_layer_per_head_layer_12_head_12,-0.19764,0.19764,0.00261
attention_entropy_per_head_layer_16_head_16,-0.19762,0.19762,0.00261
ecs_final_layer_per_head_layer_5_head_21,-0.19759,0.19759,0.00261
ecs_final_layer_per_head_layer_19_head_17,-0.19755,0.19755,0.00262
cas_alt_vs_final_layer_per_head_layer_7_head_13,-0.19754,0.19754,0.00262
ecs_final_layer_per_head_layer_7_head_3,-0.19752,0.19752,0.00262
ecs_final_layer_per_head_layer_17_head_21,-0.19752,0.19752,0.00262
cos_sim_pre_post_ffn_per_layer_layer_14,0.19750,0.19750,0.00262
ecs_final_layer_per_head_layer_25_head_12,-0.19750,0.19750,0.00262
ecs_final_layer_per_head_layer_3_head_13,-0.19749,0.19749,0.00263
ecs_final_layer_per_head_layer_6_head_20,-0.19748,0.19748,0.00263
ecs_final_layer_per_head_layer_0_head_13,-0.19748,0.19748,0.00263
ecs_prompt_final_layer_per_head_layer_15_head_19,-0.19742,0.19742,0.00264
ecs_final_layer_per_head_layer_6_head_13,-0.19739,0.19739,0.00264
ecs_final_layer_per_head_layer_19_head_7,-0.19739,0.19739,0.00264
ecs_prompt_final_layer_per_head_layer_0_head_1,-0.19736,0.19736,0.00264
ecs_prompt_final_layer_per_head_layer_2_head_7,-0.19734,0.19734,0.00265
cas_alt_vs_final_layer_per_head_layer_17_head_14,-0.19730,0.19730,0.00265
ecs_prompt_specific_layer_per_head_layer_5_head_17,0.19725,0.19725,0.00266
ecs_prompt_final_layer_per_head_layer_2_head_0,-0.19720,0.19720,0.00266
cas_alt_vs_final_layer_per_head_layer_1_head_3,-0.19718,0.19718,0.00267
cas_alt_vs_final_layer_per_head_layer_3_head_7,-0.19718,0.19718,0.00267
ecs_final_layer_per_head_layer_14_head_9,-0.19712,0.19712,0.00268
ecs_prompt_final_layer_per_head_layer_12_head_1,-0.19710,0.19710,0.00268
ecs_prompt_specific_layer_per_head_layer_14_head_14,0.19708,0.19708,0.00268
cas_alt_vs_final_layer_per_head_layer_22_head_17,-0.19708,0.19708,0.00268
cas_alt_vs_current_layer_per_head_layer_14_head_12,0.19702,0.19702,0.00269
cas_alt_vs_current_layer_per_head_layer_14_head_16,0.19699,0.19699,0.00269
attention_entropy_per_head_layer_22_head_19,-0.19697,0.19697,0.00270
ecs_final_layer_per_head_layer_2_head_10,-0.19695,0.19695,0.00270
cas_alt_vs_final_layer_per_head_layer_14_head_0,-0.19695,0.19695,0.00270
ecs_prompt_final_layer_per_head_layer_19_head_22,-0.19694,0.19694,0.00270
ecs_final_layer_per_head_layer_8_head_4,-0.19694,0.19694,0.00270
bos_attention_proportion_per_head_layer_20_head_14,0.19693,0.19693,0.00270
cas_alt_vs_final_layer_per_head_layer_3_head_14,-0.19691,0.19691,0.00270
cas_alt_vs_final_layer_per_head_layer_2_head_12,-0.19691,0.19691,0.00271
ecs_final_layer_per_head_layer_2_head_5,-0.19688,0.19688,0.00271
ecs_prompt_final_layer_per_head_layer_4_head_13,-0.19684,0.19684,0.00271
ecs_prompt_final_layer_per_head_layer_1_head_0,-0.19683,0.19683,0.00272
ecs_final_layer_per_head_layer_12_head_10,-0.19683,0.19683,0.00272
cas_alt_vs_final_layer_per_head_layer_14_head_9,-0.19679,0.19679,0.00272
cas_alt_vs_current_layer_per_head_layer_14_head_15,0.19676,0.19676,0.00273
cas_alt_vs_final_layer_per_head_layer_10_head_23,-0.19673,0.19673,0.00273
ecs_final_layer_per_head_layer_21_head_7,-0.19668,0.19668,0.00274
ecs_final_layer_per_head_layer_2_head_9,-0.19660,0.19660,0.00275
ecs_final_layer_per_head_layer_0_head_20,-0.19658,0.19658,0.00275
ecs_final_layer_per_head_layer_23_head_15,-0.19657,0.19657,0.00275
cas_alt_vs_final_layer_per_head_layer_19_head_3,-0.19656,0.19656,0.00275
cas_alt_vs_final_layer_per_head_layer_5_head_10,-0.19654,0.19654,0.00276
ecs_prompt_final_layer_per_head_layer_5_head_22,-0.19653,0.19653,0.00276
ecs_final_layer_per_head_layer_11_head_21,-0.19653,0.19653,0.00276
ecs_prompt_specific_layer_per_head_layer_4_head_17,0.19651,0.19651,0.00276
cas_alt_vs_final_layer_per_head_layer_5_head_23,-0.19643,0.19643,0.00277
ecs_final_layer_per_head_layer_7_head_12,-0.19642,0.19642,0.00277
cas_vs_current_layer_per_head_layer_23_head_2,-0.19639,0.19639,0.00278
cas_alt_vs_final_layer_per_head_layer_9_head_15,-0.19637,0.19637,0.00278
cas_alt_vs_final_layer_per_head_layer_17_head_20,-0.19636,0.19636,0.00278
cas_alt_vs_final_layer_per_head_layer_17_head_15,-0.19635,0.19635,0.00278
ecs_final_layer_per_head_layer_11_head_10,-0.19635,0.19635,0.00278
cas_alt_vs_final_layer_per_head_layer_23_head_15,-0.19632,0.19632,0.00279
cas_alt_vs_final_layer_per_head_layer_20_head_15,-0.19628,0.19628,0.00279
ecs_prompt_final_layer_per_head_layer_13_head_17,-0.19626,0.19626,0.00280
ecs_final_layer_per_head_layer_9_head_7,-0.19625,0.19625,0.00280
ecs_final_layer_per_head_layer_27_head_2,-0.19625,0.19625,0.00280
ecs_specific_layer_per_head_layer_27_head_2,-0.19625,0.19625,0.00280
ecs_final_layer_per_head_layer_3_head_12,-0.19625,0.19625,0.00280
ecs_final_layer_per_head_layer_8_head_12,-0.19624,0.19624,0.00280
ecs_prompt_final_layer_per_head_layer_1_head_12,-0.19622,0.19622,0.00280
ecs_final_layer_per_head_layer_3_head_4,-0.19620,0.19620,0.00281
ecs_prompt_final_layer_per_head_layer_3_head_15,-0.19617,0.19617,0.00281
ecs_final_layer_per_head_layer_15_head_17,-0.19617,0.19617,0.00281
attention_entropy_per_head_layer_27_head_23,-0.19616,0.19616,0.00281
ecs_final_layer_per_head_layer_11_head_13,-0.19610,0.19610,0.00282
bos_attention_proportion_per_head_layer_16_head_12,-0.19607,0.19607,0.00282
ecs_final_layer_per_head_layer_17_head_20,-0.19606,0.19606,0.00282
ecs_prompt_final_layer_per_head_layer_2_head_2,-0.19605,0.19605,0.00283
cas_alt_vs_final_layer_per_head_layer_19_head_20,-0.19604,0.19604,0.00283
ecs_final_layer_per_head_layer_16_head_10,-0.19602,0.19602,0.00283
ecs_final_layer_per_head_layer_8_head_22,-0.19601,0.19601,0.00283
ecs_final_layer_per_head_layer_19_head_3,-0.19599,0.19599,0.00283
cas_alt_vs_current_layer_per_head_layer_13_head_15,0.19593,0.19593,0.00284
ecs_final_layer_per_head_layer_3_head_5,-0.19590,0.19590,0.00285
ecs_final_layer_per_head_layer_3_head_3,-0.19589,0.19589,0.00285
cas_alt_vs_final_layer_per_head_layer_10_head_8,-0.19585,0.19585,0.00285
cas_alt_vs_final_layer_per_head_layer_10_head_19,-0.19576,0.19576,0.00287
bos_attention_proportion_per_head_layer_3_head_11,0.19570,0.19570,0.00288
ecs_prompt_specific_layer_per_head_layer_26_head_2,-0.19569,0.19569,0.00288
ecs_final_layer_per_head_layer_1_head_3,-0.19568,0.19568,0.00288
ecs_prompt_specific_layer_per_head_layer_27_head_13,-0.19568,0.19568,0.00288
ecs_prompt_final_layer_per_head_layer_27_head_13,-0.19568,0.19568,0.00288
ecs_final_layer_per_head_layer_18_head_2,-0.19568,0.19568,0.00288
ecs_final_layer_per_head_layer_18_head_12,-0.19567,0.19567,0.00288
ecs_prompt_final_layer_per_head_layer_1_head_3,-0.19564,0.19564,0.00289
ecs_final_layer_per_head_layer_20_head_19,-0.19562,0.19562,0.00289
cas_alt_vs_final_layer_per_head_layer_25_head_19,-0.19562,0.19562,0.00289
ecs_prompt_final_layer_per_head_layer_26_head_7,-0.19560,0.19560,0.00289
ecs_final_layer_per_head_layer_8_head_1,-0.19560,0.19560,0.00289
ecs_prompt_final_layer_per_head_layer_13_head_1,-0.19560,0.19560,0.00289
cos_sim_pre_post_ffn_per_layer_layer_27,0.19559,0.19559,0.00289
cas_alt_vs_final_layer_per_head_layer_19_head_5,-0.19558,0.19558,0.00289
cas_alt_vs_final_layer_per_head_layer_23_head_13,-0.19558,0.19558,0.00289
cas_alt_vs_final_layer_per_head_layer_13_head_7,-0.19557,0.19557,0.00290
cas_alt_vs_final_layer_per_head_layer_2_head_0,-0.19556,0.19556,0.00290
ecs_final_layer_per_head_layer_5_head_5,-0.19556,0.19556,0.00290
cas_alt_vs_final_layer_per_head_layer_20_head_19,-0.19552,0.19552,0.00290
ecs_final_layer_per_head_layer_1_head_2,-0.19552,0.19552,0.00290
ecs_final_layer_per_head_layer_11_head_11,-0.19550,0.19550,0.00291
ecs_prompt_final_layer_per_head_layer_21_head_2,-0.19546,0.19546,0.00291
ecs_final_layer_per_head_layer_27_head_6,-0.19546,0.19546,0.00291
ecs_specific_layer_per_head_layer_27_head_6,-0.19546,0.19546,0.00291
ecs_prompt_final_layer_per_head_layer_1_head_20,-0.19545,0.19545,0.00291
ecs_prompt_final_layer_per_head_layer_12_head_16,-0.19543,0.19543,0.00292
bos_attention_proportion_per_head_layer_7_head_22,0.19538,0.19538,0.00292
ecs_final_layer_per_head_layer_12_head_18,-0.19538,0.19538,0.00292
cas_alt_vs_final_layer_per_head_layer_25_head_4,-0.19537,0.19537,0.00292
cas_alt_vs_final_layer_per_head_layer_14_head_4,-0.19537,0.19537,0.00293
ecs_prompt_final_layer_per_head_layer_17_head_11,-0.19534,0.19534,0.00293
ecs_specific_layer_per_head_layer_26_head_18,-0.19532,0.19532,0.00293
ecs_prompt_final_layer_per_head_layer_2_head_20,-0.19532,0.19532,0.00293
ecs_prompt_final_layer_per_head_layer_0_head_0,-0.19531,0.19531,0.00293
ecs_final_layer_per_head_layer_8_head_10,-0.19529,0.19529,0.00294
ecs_final_layer_per_head_layer_7_head_18,-0.19528,0.19528,0.00294
ecs_final_layer_per_head_layer_21_head_3,-0.19527,0.19527,0.00294
ecs_final_layer_per_head_layer_2_head_7,-0.19525,0.19525,0.00294
ecs_final_layer_per_head_layer_20_head_15,-0.19525,0.19525,0.00294
cas_alt_vs_current_layer_per_head_layer_11_head_20,0.19525,0.19525,0.00294
ecs_prompt_final_layer_per_head_layer_24_head_7,-0.19520,0.19520,0.00295
ecs_final_layer_per_head_layer_19_head_4,-0.19520,0.19520,0.00295
cas_alt_vs_final_layer_per_head_layer_24_head_18,-0.19520,0.19520,0.00295
ecs_final_layer_per_head_layer_0_head_2,-0.19519,0.19519,0.00295
ecs_prompt_final_layer_per_head_layer_18_head_22,-0.19516,0.19516,0.00296
cas_alt_vs_final_layer_per_head_layer_9_head_13,-0.19515,0.19515,0.00296
attention_entropy_per_head_layer_8_head_4,-0.19514,0.19514,0.00296
attention_entropy_per_head_layer_15_head_12,-0.19514,0.19514,0.00296
ecs_specific_layer_per_head_layer_27_head_11,-0.19513,0.19513,0.00296
ecs_final_layer_per_head_layer_27_head_11,-0.19513,0.19513,0.00296
ecs_final_layer_per_head_layer_24_head_18,-0.19511,0.19511,0.00296
ecs_final_layer_per_head_layer_4_head_20,-0.19510,0.19510,0.00296
ecs_prompt_final_layer_per_head_layer_13_head_2,-0.19510,0.19510,0.00296
ecs_final_layer_per_head_layer_16_head_6,-0.19508,0.19508,0.00297
ecs_final_layer_per_head_layer_15_head_8,-0.19504,0.19504,0.00297
ecs_final_layer_per_head_layer_20_head_2,-0.19503,0.19503,0.00298
ecs_final_layer_per_head_layer_0_head_10,-0.19500,0.19500,0.00298
cas_alt_vs_current_layer_per_head_layer_14_head_19,0.19492,0.19492,0.00299
ecs_final_layer_per_head_layer_17_head_0,-0.19490,0.19490,0.00300
ecs_prompt_final_layer_per_head_layer_13_head_14,-0.19488,0.19488,0.00300
ecs_final_layer_per_head_layer_2_head_2,-0.19487,0.19487,0.00300
ecs_final_layer_per_head_layer_7_head_5,-0.19482,0.19482,0.00301
ecs_prompt_final_layer_per_head_layer_20_head_19,-0.19482,0.19482,0.00301
ecs_final_layer_per_head_layer_11_head_16,-0.19480,0.19480,0.00301
ecs_final_layer_per_head_layer_16_head_7,-0.19479,0.19479,0.00301
cas_alt_vs_final_layer_per_head_layer_8_head_3,-0.19479,0.19479,0.00301
ecs_final_layer_per_head_layer_19_head_5,-0.19476,0.19476,0.00302
ecs_prompt_final_layer_per_head_layer_8_head_15,-0.19473,0.19473,0.00302
bos_attention_proportion_per_head_layer_8_head_18,0.19473,0.19473,0.00302
ecs_prompt_final_layer_per_head_layer_3_head_8,-0.19472,0.19472,0.00302
cas_alt_vs_final_layer_per_head_layer_8_head_10,-0.19472,0.19472,0.00302
attention_entropy_per_head_layer_25_head_1,-0.19472,0.19472,0.00302
cas_alt_vs_final_layer_per_head_layer_12_head_21,-0.19465,0.19465,0.00303
ecs_prompt_final_layer_per_head_layer_18_head_10,-0.19461,0.19461,0.00304
ecs_prompt_specific_layer_per_head_layer_6_head_1,0.19458,0.19458,0.00304
ecs_final_layer_per_head_layer_18_head_13,-0.19455,0.19455,0.00305
ecs_final_layer_per_head_layer_14_head_2,-0.19455,0.19455,0.00305
cas_alt_vs_final_layer_per_head_layer_4_head_14,-0.19455,0.19455,0.00305
cas_alt_vs_final_layer_per_head_layer_4_head_12,-0.19454,0.19454,0.00305
ecs_prompt_final_layer_per_head_layer_21_head_22,-0.19453,0.19453,0.00305
ecs_final_layer_per_head_layer_13_head_7,-0.19452,0.19452,0.00305
ecs_final_layer_per_head_layer_22_head_21,-0.19451,0.19451,0.00305
ecs_final_layer_per_head_layer_11_head_5,-0.19450,0.19450,0.00306
cas_alt_vs_final_layer_per_head_layer_7_head_10,-0.19448,0.19448,0.00306
cas_alt_vs_final_layer_per_head_layer_22_head_7,-0.19442,0.19442,0.00307
ecs_final_layer_per_head_layer_4_head_0,-0.19442,0.19442,0.00307
ecs_prompt_final_layer_per_head_layer_8_head_18,-0.19439,0.19439,0.00307
cas_alt_vs_final_layer_per_head_layer_5_head_20,-0.19438,0.19438,0.00308
ecs_final_layer_per_head_layer_8_head_3,-0.19438,0.19438,0.00308
ecs_prompt_final_layer_per_head_layer_12_head_8,-0.19437,0.19437,0.00308
cas_alt_vs_final_layer_per_head_layer_9_head_14,-0.19434,0.19434,0.00308
ecs_final_layer_per_head_layer_1_head_8,-0.19433,0.19433,0.00308
cas_alt_vs_final_layer_per_head_layer_16_head_11,-0.19432,0.19432,0.00308
ecs_final_layer_per_head_layer_6_head_23,-0.19429,0.19429,0.00309
cas_alt_vs_final_layer_per_head_layer_22_head_5,-0.19424,0.19424,0.00310
cas_alt_vs_final_layer_per_head_layer_18_head_22,-0.19423,0.19423,0.00310
cas_alt_vs_final_layer_per_head_layer_4_head_18,-0.19422,0.19422,0.00310
cas_alt_vs_final_layer_per_head_layer_0_head_6,-0.19419,0.19419,0.00310
cas_alt_vs_final_layer_per_head_layer_11_head_22,-0.19418,0.19418,0.00311
cas_alt_vs_final_layer_per_head_layer_0_head_19,-0.19413,0.19413,0.00311
cas_alt_vs_final_layer_per_head_layer_26_head_7,-0.19408,0.19408,0.00312
cas_alt_vs_final_layer_per_head_layer_8_head_21,-0.19405,0.19405,0.00313
ecs_final_layer_per_head_layer_22_head_19,-0.19404,0.19404,0.00313
cas_alt_vs_final_layer_per_head_layer_2_head_8,-0.19402,0.19402,0.00313
ecs_final_layer_per_head_layer_20_head_5,-0.19400,0.19400,0.00313
cas_alt_vs_final_layer_per_head_layer_1_head_8,-0.19400,0.19400,0.00313
ecs_final_layer_per_head_layer_26_head_17,-0.19398,0.19398,0.00314
ecs_prompt_final_layer_per_head_layer_14_head_0,-0.19391,0.19391,0.00315
cas_alt_vs_final_layer_per_head_layer_3_head_13,-0.19390,0.19390,0.00315
ecs_prompt_final_layer_per_head_layer_14_head_19,-0.19386,0.19386,0.00316
cas_alt_vs_final_layer_per_head_layer_1_head_15,-0.19382,0.19382,0.00316
ecs_final_layer_per_head_layer_17_head_17,-0.19381,0.19381,0.00316
cas_alt_vs_current_layer_per_head_layer_14_head_11,0.19376,0.19376,0.00317
cas_alt_vs_final_layer_per_head_layer_19_head_4,-0.19372,0.19372,0.00318
ecs_final_layer_per_head_layer_7_head_6,-0.19371,0.19371,0.00318
ecs_final_layer_per_head_layer_16_head_23,-0.19371,0.19371,0.00318
ecs_final_layer_per_head_layer_10_head_8,-0.19369,0.19369,0.00318
cas_alt_vs_final_layer_per_head_layer_3_head_12,-0.19369,0.19369,0.00318
cas_alt_vs_final_layer_per_head_layer_27_head_3,-0.19368,0.19368,0.00319
cas_alt_vs_current_layer_per_head_layer_27_head_3,-0.19368,0.19368,0.00319
cas_alt_vs_final_layer_per_head_layer_15_head_17,-0.19366,0.19366,0.00319
cas_alt_vs_final_layer_per_head_layer_17_head_1,-0.19365,0.19365,0.00319
ecs_prompt_final_layer_per_head_layer_23_head_21,-0.19363,0.19363,0.00319
cas_alt_vs_final_layer_per_head_layer_19_head_21,-0.19362,0.19362,0.00319
cas_alt_vs_final_layer_per_head_layer_6_head_8,-0.19356,0.19356,0.00320
